ID,Title,Author
WP/15/2015,Sustainable Economic Growth: Challenges And Policy Strategies,Solikin M. Juhro
WP/14/2015,"Key Indicators, Reciprocity And Regulation Of The Countercyclical Capital Buffer In Indonesia",Bambang Pramono & Januar Hafidz & Justina Adamanti & Maulana Harris Muhajir & Muhammad Sahirul Alim
WP/12/2015,Mapping And Determinants Of Intra-Asean Foreign Direct Investment (FDI): Indonesia Case Study,Shinta R. I. Soekro & Triono Widodo
WP/11/2015,The Impact Of Bank Liquidity Risk On The Channeling Of Loans,Iman Gunadi & Aditya Anta Taruna
WP/10/2015,Forecasting Growth Of Third Party Funds,Ina Nurmalia Kurniati
WP/8/2015,Strategic Study On Cluster Strengthening To Support The Supply Of Volatile Food Commodities,Yunita Resmi Sari & Noviarsano Manullang & Nurchair Farliani & Melia Oktarina & Fauzan Rahman & Akhmad Jaeroni & Chaikal Nuryakin & Hamdan Bintara
WP/7/2015,Selecting Early Warning Indicator To Identify Corporate Sector Distress: Efforts To Strengthen Crisis Prevention,Arlyana Abubakar & Rieska Indah Astuti & Rini Oktapiani
WP/6/2015,Design And Determine Holistic Financial Inclusion Through Baitul Maal Wa Tamwil,Ascarya & Siti Rahmawati & Hendri Tanjung
WP/5/2015,The Impact Of An Increase In Capital Adequacy Regulation On The Interest Rate Spread Of Banks Using Accounting-Based Analysis,Ndari Suryaningsih & Tevy Chawwa & Reni Indriani
WP/4/2015,The Impact Of Countercyclical Capital Buffer Policy On Credit Growth In Indonesia,Bambang Pramono & Januar Hafidz & Justina Adamanti & Maulana Harris Muhajir & Muhammad Sahirul Alim
WP/3/2015,Analysis of Competitiveness and National Strategic Industries In the Era of the Asean Economic Community and Free Trade,Masagus M. Ridhwan & Gunawan Wicaksono & Linda Nurliana & Pakasa Bary & Fenty Tri Suryani & Redianto Satyanugroho
WP/1/2015,Analysis The Determinants Of Micro Enterprises Graduation,Ascarya & Siti Rahmawati
WP/17/2014,THE ROLE OF THE CENTRAL BANK IN PROMOTING SUSTAINABLE GROWTH: Perspectives on the Implementation of Flexible ITF in Indonesia,Solikin M. Juhro
WP/12/2014,Interbank Market With Dsge Bank,Harmanta & Aditya Rachmanto & Fajar Oktiyanto & Idham
WP/9/2014,Financial Cycle Of Indonesia – Potential Forward Looking Analysis,Cicilia A. Harun & Aditya Anta Taruna & R. Renanda Nattan & Ndari Suryaningsih
WP/8/2014,Indonesia's Financial Cycle,Halim Alamsyah & Justina Adamanti & Diana Yumanita
WP/3/2014,Evaluation of Bank Indonesia Policy Mix Transmission,Rizki E. Wimanda & Novi Maryaningsih & Linda Nurliana & Redianto Satyanugroho
WP/1/2014,Early Warning Indicators: Banking Liquidity Risk,Ndari Suryaningsih & Tevy Chawwa & Diana Yumanita & Elis Deriantino
OP/01/2014,The Linkages Between Monetary And Financial Stability: Some Policy Perspectives,Solikin M. Juhro
WP/17/2013,The Monetary Policy Regime In Indonesia,Solikin M. Juhro & Miranda S. Goeltom
WP/19/2012,Demographic Transition and Economic Growth Potential in Indonesia,Miranda S. Goeltom & Solikin M. Juhro
201570,Simulation of the term structure. An application for measuring the interest rate risk,Mirta González & María Cecilia Pérez
201569,GDP Nowcasting: Assessing business cycle conditions in Argentina,Laura D´Amato & Lorena Garegnani & Emilio Blanco
201568,Panel Time Series. Review of the Methodological Evolution,Tamara Burdisso & Máximo Sangiácomo
201567,Ambiguity and portfolio decisions,Eduardo Corso
201566,Spatial analysis of the financial system in urban areas: The case of Buenos Aires city,Andrés Denes & Gastón Repetto
201565,"Inequality, Financial Deepening and Current Account Impact",Jorge Carrera & Esteban Rodríguez & Mariano Sardi
201564,"Intermediation Spreads in an Emerging Economy Under Different Macroeconomic Regimes: Argentina, 1994-2013",Horacio Aguirre & Tamara Burdisso & Federico Grillo & Emiliano Giupponi
