ID,Title,Author
2198,Stigma? What stigma? A contribution to the debate on financial market effects of IMF lending,"Scheubel, Beatrice & Tafuro, Andrea & Vonessen, Benjamin"
2197,Does a big bazooka matter? Central bank balance-sheet policies and exchange rates,"Dedola, Luca & Georgiadis, Georgios & Gräb, Johannes & Mehl, Arnaud"
2196,"Inflation expectations, consumption and the lower bound: micro evidence from a large euro area survey","Duca, Ioana A. & Kenny, Geoff & Reuter, Andreas"
2195,Government debt and banking fragility: the spreading of strategic uncertainty,"Nikolov, Kalin & Cooper, Russell"
2194,Semi-structural credit gap estimation,"Lang, Jan Hannes & Welz, Peter"
2193,Bank to sovereign risk spillovers across borders: evidence from the ECB’s Comprehensive Assessment,"Breckenfelder, Johannes & Schwaab, Bernd"
2192,Speed limit policy and liquidity traps,"Nakata, Taisuke & Schmidt, Sebastian & Yoo, Paul"
2191,"Variation margins, fire sales, and information-constrained optimality","Biais, Bruno & Heider, Florian & Hoerova, Marie"
2190,How does monetary policy affect income and wealth inequality? Evidence from quantitative easing in the euro area,"Lenza, Michele & Slacalek, Jiri"
2189,Insolvency frameworks and private debt: an empirical investigation,"Consolo, Agostino & Malfa, Federica & Pierluigi, Beatrice"
2188,Selecting models with judgment,"Manganelli, Simone"
2187,Is the top tail of the wealth distribution the missing link between the Household Finance and Consumption Survey and national accounts?,"Chakraborty, Robin & Kavonius, Ilja Kristian & Pérez-Duarte, Sébastien & Vermeulen, Philip"
2186,Interest rate spreads and forward guidance,"Bredemeier, Christian & Kaufmann, Christoph & Schabert, Andreas"
2185,Beyond spreads: measuring sovereign market stress in the euro area,"Garcia-de-Andoain, Carlos & Kremer, Manfred"
2184,Trust and the household-bank relationship,"Ampudia, Miguel & Palligkinis, Spyros"
2183,(Un)conventional policy and the effective lower bound,"De Fiore, Fiorella & Tristani, Oreste"
2182,A framework for early-warning modeling with an application to banks,"Lang, Jan Hannes & Peltonen, Tuomas A. & Sarlin, Peter"
2181,A structural model to assess the impact of bank capitalization changes conditional on a bail-in versus bail-out regime,"Gross, Marco & Dubiel-Teleszynski, Tomasz & Población, Javier"
2180,The role of factor substitution and technical progress in China's great expansion,"Manu, Ana-Simona & McAdam, Peter & Willman, Alpo"
2179,The global effects of global risk and uncertainty,"Bonciani, Dario & Ricci, Martino"
2178,Revenue- versus spending-based consolidation plans: the role of follow-up,"Beetsma, Roel & Furtuna, Oana & Giuliodori, Massimo"
2177,Managing the sovereign-bank nexus,"Dell'Ariccia, Giovanni & Ferreira, Caio & Jenkinson, Nigel & Laeven, Luc & Martin, Alberto & Minoiu, Camelia & Popov, Alexander"
2176,Who bears interest rate risk?,"Hoffmann, Peter & Langfield, Sam & Pierobon, Federico & Vuillemey, Guillaume"
2175,ALICE: A new inflation monitoring tool,"Hahn, Elke & Zekaite, Zivile & de Bondt, Gabe"
2174,Stochastic discounting and the transmission of money supply shocks,"Jaccard, Ivan"
2173,Life below zero: bank lending under negative policy rates,"Heider, Florian & Saidi, Farzad & Schepens, Glenn"
2172,International spillovers of quantitative easing,"Kolasa, Marcin & Wesołowski, Grzegorz"
2171,A methodology for automised outlier detection in high-dimensional datasets: an application to euro area banks' supervisory data,"Farnè, Matteo & Vouldis, Angelos T."
2170,Monetary policy and household inequality,"Ampudia, Miguel & Georgarakos, Dimitris & Slacalek, Jiri & Tristani, Oreste & Vermeulen, Philip & Violante, Giovanni L."
2169,Benefits and costs of liquidity regulation,"Hoerova, Marie & Mendicino, Caterina & Nikolov, Kalin & Schepens, Glenn & Heuvel, Skander Van den"
2168,The natural rate of interest and the financial cycle,"Krustev, Georgi"
2167,"Financial frictions, international capital flows and welfare","Taddei, Filippo"
2166,"Credit shocks, employment protection, and growth: firm-level evidence from Spain","Laeven, Luc & McAdam, Peter & Popov, Alexander"
2165,Proposal on ELBE and LGD in-default: tackling capital requirements after the financial crisis,"González, Marta Ramos & Ureña, Antonio Partal & Fernández-Aguado, Pilar Gómez"
2164,I will survive. Pricing strategies of financially distressed firms,"Duca, Ioana A. & Montero, José M. & Riggi, Marianna & Zizza, Roberta"
2163,Missing the wealthy in the HFCS: micro problems with macro implications,"Chakraborty, Robin & Waltl, Sofie R."
2162,Foreign-law bonds: can they reduce sovereign borrowing costs?,"Chamon, Marcos & Schumacher, Julian & Trebesch, Christoph"
2161,Are asset price data informative about news shocks? A DSGE perspective,"Iskrev, Nikolay"
2160,Cross-country linkages and spill-overs in early warning models for financial crises,"Lang, Jan Hannes"
2159,Nominal wage rigidity in the EU countries before and after the Great Recession: evidence from the WDN surveys,"Branten, Eva & Lamo, Ana & Rõõm, Tairi"
2158,"Non-base wage components as a source of wage adaptability to shocks: evidence from European firms, 2010–2013","Babecký, Jan & Berson, Clémence & Fadejeva, Ludmila & Lamo, Ana & Marotzke, Petra & Martins, Fernando & Strzelecki, Pawel"
2157,Wealth effects in the euro area,"Guerrieri, Cinzia & Mendicino, Caterina"
2156,Designing QE in a fiscally sound monetary union,"Bletzinger, Tilman & von Thadden, Leopold"
2155,Coordinating monetary and financial regulatory policies,"Van der Ghote, Alejandro"
2154,Learning about fiscal multipliers during the European sovereign debt crisis: evidence from a quasi-natural experiment,"Gόrnicka, Lucyna & Kamps, Christophe & Koester, Gerrit & Leiner-Killinger, Nadine"
2153,What are the main obstacles to hiring after recessions in Europe?,"Savšek, Simon"
2152,Sticky expectations and consumption dynamics,"Carroll, Christopher D. & Crawley, Edmund & Slacalek, Jiri & Tokuoka, Kiichi & White, Matthew N."
2151,Exchange rate forecasting on a napkin,"Zorzi, Michele Ca' & Rubaszek, Michał"
2150,Asset pricing and the propagation of financial shocks,"Jaccard, Ivan"
2149,From carry trades to curvy trades,"Dreher, Ferdinand & Gräb, Johannes & Kostka, Thomas"
2148,Private and public risk sharing in the euro area,"Cimadomo, Jacopo & Furtuna, Oana & Giuliodori, Massimo"
