ID,Title,Author
rdp2018-10,Wage Growth Puzzles and Technology,Geoff Weir
rdp2018-09,Identifying Repo Market Microstructure from Securities Transactions Data,Nicholas Garvin
rdp2018-08,Econometric Perspectives on Economic Measurement,Adam Gorajek
rdp2018-07,The GFC Investment Tax Break,David Rodgers & Jonathan Hambur
rdp2018-06,"The Effect of Minimum Wage Increases on Wages, Hours Worked and Job Loss",James Bishop
rdp2018-05,Do Interest Rates Affect Business Investment? Evidence from Australian Company-level Data,Jonathan Hambur & Gianni La Cava
rdp2018-04,DSGE Reno: Adding a Housing Block to a Small Open Economy Model,Christopher G Gibbs & Jonathan Hambur & Gabriela Nodari
rdp2018-03,The Effect of Zoning on Housing Prices,Ross Kendall & Peter Tulip
rdp2018-02,Affine Endeavour: Estimating a Joint Model of the Nominal and Real Term Structures of Interest Rates in Australia,Jonathan Hambur & Richard Finlay
rdp2018-01,A Density-based Estimator of Core/Periphery Network Structures: Analysing the Australian Interbank Market,Anthony Brassil & Gabriela Nodari
rdp2017-06,Uncertainty and Monetary Policy in Good and Bad Times,Giovanni Caggiano & Efrem Castelnuovo & Gabriela Nodari
rdp2017-05,The Property Ladder after the Financial Crisis: The First Step is a Stretch but Those Who Make It Are Doing OK,John Simon & Tahlee Stone
rdp2017-04,How Australians Pay: Evidence from the 2016 Consumer Payments Survey,Mary-Alice Doyle & Chay Fisher & Ed Tellez & Anirudh Yadav
rdp2017-03,Financialisation and the Term Structure of Commodity Risk Premiums,Jonathan Hambur & Nick Stenner
rdp2017-02,Anticipatory Monetary Policy and the 'Price Puzzle',James Bishop & Peter Tulip
rdp2017-01,Gauging the Uncertainty of the Economic Outlook Using Historical Forecasting Errors: The Federal Reserve's Approach,David Reifschneider & Peter Tulip
rdp2016-12,The Household Cash Flow Channel of Monetary Policy,Gianni La Cava & Helen Hughson & Greg Kaplan
rdp2016-11,Identifying Interbank Loans from Payments Data,Anthony Brassil & Helen Hughson & Mark McManus
rdp2016-10,The Effect of Consumer Sentiment on Consumption,Christian Gillitzer & Nalini Prasad
rdp2016-09,Why Do Companies Fail?,Rose Kenney & Gianni La Cava & David Rodgers
