ID,Title,Author
DP2018/07,Migration and Business Cycle Dynamics,Christie Smith & Christoph Thoenissen
DP2018/06,Housing Leverage and Consumption Expenditure - Evidence from New Zealand Microdata,Karam Shaar & Fang Yao
DP2018/05,Loan-to-Value Ratio Restrictions and House Prices,Jed Armstrong & Hayden Skilling & Fang Yao
DP2018/04,Real-time forecasting with macro-finance models in the presence of a zero lower bound,Leo Krippner & Michelle Lewis
DP2018/03,Optimal grid selection in numerical approaches to dynamic heterogeneous agent macroeconomic models,Karsten O. Chipeniuk
DP2018/02,Residential construction and population growth in New Zealand: 1996-2016,Andrew Coleman & Özer Karagedikli
DP2018/01,Global Factors and Trend Inflation,Güneş Kamber & Benjamin Wong
DP2017/04,Macroprudential policies in a low interest-rate environment,Fang Yao & Margarita Rubio
DP2017/03,How bubbly is the New Zealand dollar?,Daan Steenkamp
DP2017/02,Explosiveness in G11 currencies,Daan Steenkamp
DP2017/01,Intuitive and Reliable Estimates of the Output Gap from a Beveridge-Nelson Filter,Güneş Kamber & James Morley & Benjamin Wong
DP2016/12,Factor substitution and productivity in New Zealand,Daan Steenkamp
DP2016/11,"Bond premia, monetary policy and exchange rate dynamics",Anella Munro
DP2016/10,Assessing the economic value of probabilistic forecasts in the presence of an inflation target,Chris McDonald & Craig Thamotheram & Shaun P. Vahey & Elizabeth C. Wakerly
DP2016/09,Inflation expectations and low inflation in New Zealand,Özer Karagedikli & Dr John McDermott
DP2016/08,Monetary policy spillovers across the Pacific when interest rates are at the zero lower bound,Edda Claus & Iris Claus & Leo Krippner
DP2016/07,New Zealand's experience with changing its inflation target and the impact on inflation expectations,Michelle Lewis & Dr John McDermott
DP2016/06,The impact of disasters on inflation,Miles Parker
DP2016/05,"Global inflation: the role of food, housing and energy prices",Miles Parker
DP2016/04,A macroprudential stable funding requirement and monetary policy in a small open economy,Punnoose Jacob & Anella Munro
DP2016/03,How wages are set: evidence from a large survey of firms,Jed Armstrong & Miles Parker
DP2016/02,Persistence and volatility of real exchange rates: the role of supply shocks revisited,Britta Gehrke & Fang Yao
DP2016/01,How exporters set prices: evidence from a large behavioural survey,Miles Parker
DP2015/06,When is macroprudential policy effective?,Chris McDonald
DP2015/05,A structural model for policy analysis and forecasting: NZSIM,Güneş Kamber & Chris McDonald & Nicholas Sander & Konstantinos Theodoridis
DP2015/04,Applying an Inflation Targeting Lens to Macroprudential Policy 'Institutions',Güneş Kamber & Özer Karagedikli & Christie Smith
DP2015/03,The interest rate pass-through in the euro area during the sovereign debt crisis,Leo Krippner & Sandra Eickmeier & Julia von Borstel
DP2015/02,"Structural VARs, deterministic and stochastic trends: Does detrending matter?",Benjamin Wong & Varang Wiriyawit
DP2015/01,Do inflation expectations propagate the inflationary impact of real oil price shocks?: Evidence from the Michigan survey,Benjamin Wong
DP2014/04,Price-setting behaviour in New Zealand,Miles Parker
DP2014/03,Asset markets and monetary policy shocks at the zero lower bound,Edda Claus & Iris Claus & Leo Krippner
DP2014/02,Recessions and Recoveries in New Zealand's Post-Second World War Business Cycles,Viv B. Hall & John McDermott
DP2014/01,"Exchange rates, expected returns and risk",Anella Munro
DP2013/06,Financial exposure and the international transmission of financial shocks,Güneş Kamber & Christoph Thoenissen
DP2013/05,What happens when the Kiwi flies? Sectoral effects of the exchange rate shocks,"Özer Karagedikli & Ryan, Michael & Daan Steenkamp & Tugrul Vehbi"
DP2013/04,Dissecting the dynamics of the US trade balance in an estimated equilibrium model,Punnoose Jacob & Gert Peersman
DP2013/03,"Deep habits, price rigidities and the consumption response to Government spending",Punnoose Jacob
DP2013/02,A tractable framework for zero lower bound Gaussian term structure models,Leo Krippner
DP2013/01,"Export performance, invoice currency, and heterogeneous exchange rate pass-through",Richard Fabling & Lynda Sanderson
DP2012/06,Matching efficiency and business cycle fluctuations,Francesco Furlanett & Nicolas Groshenny
DP2012/05,The macroeconomic effects of a stable funding requirement,Chris Bloor & Rebecca Craigie & Anella Munro
DP2012/04,Measuring the stance of monetary policy in zero lower bound environments,Leo Krippner
DP2012/03,The information content of central bank interest rate projections: Evidence from New Zealand,Gunda-Alexandra Detmers & Dieter Nautz
DP2012/02,Modifying Gaussian term structure models when interest rates are near the zero lower bound,Leo Krippner
DP2012/01,The financial accelerator and monetary policy rules,Güneş Kamber & Christoph Thoenissen
DP2011/08,Foreign acquisition and the performance of New Zealand firms,Richard Fabling & Lynda Sanderson
DP2011/07,Forecasting house price inflation: a model combination approach,Sarah Drought & Chris McDonald
DP2011/06,Cyclical changes in firm volatility,Emmanuel De Veirman & Andrew Levin
DP2011/05,"Time-varying returns, intertemporal substitution and cyclical variation in consumption",Emmanuel De Veirman & Ashley Dunstan
DP2011/04,An estimated small open economy model with frictional unemployment,Julien Albertini & Güneş Kamber & Michael Kirker
DP2011/03,Evaluating density forecasts: model combination strategies versus the RBNZ,Chris McDonald & Leif Anders Thorsrud
DP2011/02,"Fluctuations in the international prices of oil, dairy products, beef and lamb between 2000 and 2008: A review of market-specific demand and supply factors",Phil Briggs & Carly Harker & Tim Ng & Aidan Yao
DP2011/01,Any port in a storm? The impact of new port infrastructure on New Zealand exporter behaviour,Richard Fabling & Arthur Grimes & Lynda Sanderson
DP2010/14,"Monetary Policy, Inflation and Unemployment",Nicolas Groshenny
DP2010/13,What drives core inflation? A dynamic factor model analysis of tradable and nontradable prices,Michael Kirker
DP2010/12,Monetary policy implementation and uncovered interest parity: empirical evidence from Oceania,Alfred Guender & Bevan Cook
DP2010/11,"A theoretical foundation for the Nelson and Siegel class of yield curve models, and an empirical application to U.S. yield curve dynamics",Leo Krippner
DP2010/10,Does the Kiwi fly when the Kangaroo jumps? The effect of Australian macroeconomic news on the New Zealand dollar,Andrew Coleman & Özer Karagedikli
DP2010/09,Debt dynamics and excess sensitivity of consumption to transitory wealth changes,Emmanuel De Veirman & Ashley Dunstan
DP2010/08,Intertemporal Choice: A Nash Bargaining Approach,David Baqaee
DP2010/07,"Exporting and performance: Market entry, expansion and destination characteristics",Richard Fabling & Lynda Sanderson
DP2010/06,Sharing a risky cake,David Baqaee & Richard Watt
