ID,Title,Author
766,"The leverage ratio, risk-taking and bank stability","Acosta-Smith, Jonathan & Grill, Michael & Lang, Jan Hannes"
765,Macroprudential margins: a new countercyclical tool?,"O'Neill, Cian & Vause, Nicholas"
764,Uncertain Kingdom: nowcasting GDP and its revisions,"Anesti, Nikoleta & Galvão, Ana & Miranda-Agrippino, Silvia"
763,Estimating nominal interest rate expectations: overnight indexed swaps and the term structure,"Lloyd, Simon"
762,FX funding shocks and cross-border lending: fragmentation matters,"Eguren-Martin, Fernando & Ossandon Busch, Matias & Reinhardt, Dennis"
761,"Banks are not intermediaries of loanable funds — facts, theory and evidence","Jakab, Zoltan & Kumhof, Michael"
760,Determinants of distress in the UK owner-occupier and buy-to-let mortgage markets,"Lazarov, Vladimir & Hinterschweiger, Marc"
758,Macroprudential FX regulations: shifting the snowbanks of FX vulnerability?,"Ahnert, Toni & Forbes, Kristin & Friedrich, Christian & Reinhardt, Dennis"
757,What drives UK defined benefit pension funds' investment behaviour?,"Douglas, Graeme & Roberts-Sklar, Matt"
756,Bayesian vector autoregressions,"Miranda-Agrippino, Silvia & Ricco, Giovanni"
755,Were banks special? Contrasting viewpoints in mid-nineteenth century Britain,"Willison, Matthew"
754,The stochastic lower bound,"Masolo, Riccardo & Winant, Pablo"
753,"Business investment, cash holding and uncertainty since the Great Financial Crisis","Smietanka, Pawel & Bloom, Nicholas & Mizen, Paul"
752,"Banks, money and the zero lower bound","Kumhof, Michael & Wang, Xuan"
751,OTC premia,"Cenedese, Gino & Ranaldo, Angelo & Vasios, Michalis"
750,Enhancing central bank communications with behavioural insights,"Bholat, David & Broughton, Nida & Parker, Alice & Ter Meer, Janna & Walczak, Eryk"
749,"Multi-period loans, occasionally binding constraints and Monetary policy: a quantitative evaluation","Bluwstein, Kristina & Brzoza-Brzezina, Michał & Gelain, Paolo & Kolasa, Marcin"
748,Bank competition and stability in the United Kingdom,"de-Ramon, Sebastian & Francis, William & Straughan, Michael"
747,Would macroprudential regulation have prevented the last crisis?,"Aikman, David & Bridges, Jonathan & Kashyap, Anil & Siergert, Caspar"
746,Repo market functioning: the role of capital regulation,"Van Horen, Neeltje & Kotidis, Antonis"
745,"Equity, debt and moral hazard: the optimal structure of banks’ loss absorbing capacity","Tanaka, Misa & Vourdas, John"
744,Liquidity resilience in the UK gilt futures market: evidence from the order book,"Fullwood, Jonathan & Massacci, Daniele"
743,The deeds of speed: an agent-based model of market liquidity and flash episodes,"Karvik, Geir-Are & Noss, Joseph & Worlidge, Jack & Beale, Daniel"
742,Using online job vacancies to understand the UK labour market from the bottom-up,"Turrell, Arthur & Thurgood, James & Djumalieva, Jyldyz & Copple, David & Speigner, Bradley"
741,Central Bank Swap Lines,"Bahaj, Saleem & Reis, Ricardo"
740,Decomposing differences in productivity distributions,"Schneider, Patrick"
739,The BoC-BoE sovereign default database revisited: what’s new in 2018?,"Beers, David & Mavalwalla, Jamshid"
738,Measuring risks to UK financial stability,"Aikman, David & Bridges, Jonathan & Burgess, Stephen & Galletly, Richard & Levina, Iren & O'Neill, Cian & Varadi, Alexandra"
737,Using job vacancies to understand the effects of labour market mismatch on UK output and productivity,"Turrell, Arthur & Speigner, Bradley & Djumalieva, Jyldyz & Copple, David & Thurgood, James"
736,How do bonus cap and malus affect risk and effort choice Insight from a lab experiment,"Harris, Qun & Mercieca, Analise & Soane, Emma & Tanaka, Misa"
735,The impact of the leverage ratio on client clearing,"Smith, Jonathan & Ferrara, Gerardo & Rodriguez, Francesc"
734,Targeting financial stability: macroprudential or monetary policy?,"Aikman, David & Giese, Julia & Kapadia, Sujit & McLeay, Michael"
