ID,Title,Author
2018-077,"Rural Affordable Rental Housing : Quantifying Need, Reviewing Recent Federal Support, and Assessing the Use of Low Income Housing Tax Credits in Rural Areas",Andrew M. Dumont
2018-076,The Non-Bank Credit Cycle,Esti Kemp & Rene van Stralen & Alexandros Vardoulakis & Peter J. Wierts
2018-075,On the U.S. Firm and Establishment Size Distributions,Illenin O. Kondo & Logan T. Lewis & Andrea Stella
2018-074,Employment in the Great Recession : How Important Were Household Credit Supply Shocks?,Daniel Garcia
2018-073,Perceptions and Expectations of Inflation by U.S. Households,Sandor Axelrod & David E. Lebow & Ekaterina V. Peneva
2018-072,Forward Guidance with Bayesian Learning and Estimation,Christopher J. Gust & Edward Herbst & J. David Lopez-Salido
2018-071,Employment Effects of Unconventional Monetary Policy : Evidence from QE,Stephan Luck & Thomas Zimmermann
2018-070,Reliably Computing Nonlinear Dynamic Stochastic Model Solutions: An Algorithm with Error Formulas,Gary S. Anderson
2018-069,The Effect of Common Ownership on Profits : Evidence From the U.S. Banking Industry,Jacob P. Gramlich & Serafin J. Grundl
2018-068,The Long and Short of It : Do Public and Private Firms Invest Differently?,Naomi E. Feldman & Laura Kawano & Elena Patel & Nirupama Rao & Michael Stevens & Jesse Edgerton
2018-067,Unemployment Risk,Michael T. Kiley
2018-066,The Differential Impact of Bank Size on Systemic Risk,Amy Lorenc & Jeffery Y. Zhang
2018-065,Price Pressure and Price Discovery in the Term Structure of Interest Rates,Scott Mixon & Tugkan Tuzun
2018-064,Measuring Aggregate Housing Wealth : New Insights from an Automated Valuation Model,Joshua H. Gallin & Raven S. Molloy & Eric Nielsen & Paul A. Smith & Kamila Sommer
2018-063,Bank Holdings and Systemic Risk,Celso Brunetti & Jeffrey H. Harris & Shawn Mankad
2018-062,The Role of Expectations in Changed Inflation Dynamics,Damjan Pfajfar & John M. Roberts
2018-061,Information and Liquidity of OTC Securities : Evidence from Public Registration of Rule 144A Bonds,Song Han & Alan G. Huang & Madhu Kalimipalli & Ke Wang
2018-060,The Shift from Active to Passive Investing : Potential Risks to Financial Stability?,Kenechukwu E. Anadu & Mathias S. Kruttli & Patrick E. McCabe & Emilio Osambela & Chae Hee Shin
2018-059,Some Implications of Uncertainty and Misperception for Monetary Policy,Christopher J. Erceg & James Hebden & Michael T. Kiley & J. David Lopez-Salido & Robert J. Tetlow
2018-058,"Oil, Equities, and the Zero Lower Bound",Deepa Dhume Datta & Benjamin K. Johannsen & Hannah Kwon & Robert J. Vigfusson
2018-057,Hidden Baggage : Behavioral Responses to Changes in Airline Ticket Tax Disclosure,Sebastien Bradley & Naomi E. Feldman
2018-056,A Shadow Rate or a Quadratic Policy Rule? The Best Way to Enforce the Zero Lower Bound in the United States,Martin M. Andreasen & Andrew C. Meldrum
2018-055,The Near-Term Forward Yield Spread as a Leading Indicator : A Less Distorted Mirror,Eric Engstrom & Steven A. Sharpe
2018-054,"Financial Frictions, Financial Shocks, and Aggregate Volatility",Cristina Fuentes-Albero
2018-053,Tapping into Financial Synergies : Alleviating Financial Constraints Through Acquisitions,Rohan Williamson & Jie Yang
2018-052,Preventing Controversial Catastrophes,Steven D. Baker & Burton Hollifield & Emilio Osambela
2018-051,From Taylor's Rule to Bernanke's Temporary Price Level Targeting,James Hebden & J. David Lopez-Salido
2018-050,Speed Limit Policy and Liquidity Traps,Taisuke Nakata & Sebastian Schmidt & Paul Yoo
2018-049,Attenuating the Forward Guidance Puzzle : Implications for Optimal Monetary Policy,Taisuke Nakata & Ryota Ogaki & Sebastian Schmidt & Paul Yoo
2018-048,"Income Inequality, Financial Crises, and Monetary Policy",Isabel Cairo & Jae W. Sim
2018-047,"Half-full or Half-empty? Financial Institutions, CDS Use, and Corporate Credit Risk",Cecilia Caglio & R. Matthew Darst & Eric Parolin
2018-046,Self-confirming Price Dispersion in Monetary Economies,Garth Baughman & Stanislav Rabinovich
2018-045,The Local Impact of Containerization,Leah Brooks & Nicolas Gendron-Carrier & Gisela Rua
2018-044,A Nowcasting Model for the Growth Rate of Real GDP of Ecuador : Implementing a Time-Varying Intercept,Manuel Gonzalez-Astudillo & Daniel Baquero
2018-043,Financial Heterogeneity and Monetary Union,Simon Gilchrist & Raphael Schoenle & Jae W. Sim & Egon Zakrajsek
2018-042,The Money View Versus the Credit View,Sarah S. Baker & J. David Lopez-Salido & Edward Nelson
2018-041,"Nothing is Certain Except Death and Taxes : The Lack of Policy Uncertainty from Expiring ""Temporary"" Taxes",Andrew C. Chang
2018-040,An Output Gap Measure for the Euro Area : Exploiting Country-Level and Cross-Sectional Data Heterogeneity,Manuel Gonzalez-Astudillo
2018-039,The Rise of Shadow Banking : Evidence from Capital Regulation,Rustom M. Irani & Rajkamal Iyer & Ralf R. Meisenzahl & Jose Luis Peydro
2018-038,What Macroeconomic Conditions Lead Financial Crises?,Michael T. Kiley
2018-037,Efficient Mismatch,David M. Arseneau & Brendan Epstein
2018-036,Density Forecasts in Panel Data Models : A Semiparametric Bayesian Perspective,Laura Liu
2018-035,Can More Housing Supply Solve the Affordability Crisis? Evidence from a Neighborhood Choice Model,Elliot Anenberg & Edward Kung
2018-034,The Nature of Household Labor Income Risk,Seth Pruitt & Nicholas Turner
2018-033,Publication Bias and the Cross-Section of Stock Returns,Andrew Y. Chen & Thomas Zimmermann
2018-032,Voluntary Reserve Targets,Garth Baughman & Francesca Carapella
2018-031,The Origins of Aggregate Fluctuations in a Credit Network Economy,Engin L. Altinoglu
2018-030,How Much Does Health Insurance Cost? Comparison of Premiums in Administrative and Survey Data,Jeff Larrimore & David Splinter
